label,mtang1,mtang2,move,posid,direction,speed,motor,angle,xpix,ypix,xytgt,peaks,fwhm
arcphi15-20230523-094814,0.000000,0.000000,20230523-095101,4852,ccw,cruise,phi,15.000000,1975.077661,957.053775,0,79380.5784,3.5648
arcphi15-20230523-094814,0.000000,0.000000,20230523-095111,4852,ccw,cruise,phi,15.000000,1983.954953,933.038629,0,79005.4644,3.5571
arcphi15-20230523-094814,0.000000,0.000000,20230523-095121,4852,ccw,cruise,phi,15.000000,1985.403671,907.483552,0,76960.1980,3.6108
arcphi15-20230523-094814,0.000000,0.000000,20230523-095131,4852,ccw,cruise,phi,15.000000,1979.530961,883.203941,0,78226.3888,3.5873
arcth30-20230523-095450,0.000000,0.000000,20230523-095453,4852,cw,cruise,phi,180.000000,1818.172295,947.004562,0,80261.9676,3.9145
arcth30-20230523-095450,0.000000,0.000000,20230523-095503,4852,cw,cruise,theta,30.000000,1812.634917,854.841656,0,79750.1865,3.8481
arcth30-20230523-095450,0.000000,0.000000,20230523-095513,4852,cw,cruise,theta,30.000000,1860.921830,768.337451,0,78842.0257,3.5945
arcth30-20230523-095450,0.000000,0.000000,20230523-095523,4852,cw,cruise,theta,30.000000,1949.619301,723.329703,0,79851.5335,3.6708
arcth30-20230523-095450,0.000000,0.000000,20230523-095533,4852,cw,cruise,theta,30.000000,2048.404426,735.691782,0,77460.0586,3.5245
arcth30-20230523-095450,0.000000,0.000000,20230523-095543,4852,cw,cruise,theta,30.000000,2123.433399,801.139855,0,78364.5181,3.4854
arcth30-20230523-095450,0.000000,0.000000,20230523-095553,4852,cw,cruise,theta,30.000000,2149.005267,897.275545,0,79410.1294,3.4945
arcth30-20230523-095450,0.000000,0.000000,20230523-095603,4852,cw,cruise,theta,30.000000,2116.423730,991.377270,0,77022.8686,3.5871
arcth30-20230523-095450,0.000000,0.000000,20230523-095613,4852,cw,cruise,theta,30.000000,2036.615442,1051.207998,0,78736.1012,3.6189
arcth30-20230523-095450,0.000000,0.000000,20230523-095623,4852,cw,cruise,theta,30.000000,1937.118113,1056.119180,0,80000.5366,3.6465
arcth30-20230523-095450,0.000000,0.000000,20230523-095633,4852,cw,cruise,theta,30.000000,1852.222680,1004.741591,0,80034.4717,3.7711
arcth30-20230523-095450,0.000000,0.000000,20230523-095643,4852,ccw,cruise,theta,30.000000,1932.881748,1054.995528,0,79790.4267,3.6564
arcth30-20230523-095450,0.000000,0.000000,20230523-095653,4852,ccw,cruise,theta,30.000000,2031.929649,1052.868772,0,79673.3225,3.5957
arcth30-20230523-095450,0.000000,0.000000,20230523-095703,4852,ccw,cruise,theta,30.000000,2113.379958,995.410042,0,77144.5804,3.5732
arcth30-20230523-095450,0.000000,0.000000,20230523-095712,4852,ccw,cruise,theta,30.000000,2148.764238,902.105975,0,79176.7610,3.4590
arcth30-20230523-095450,0.000000,0.000000,20230523-095722,4852,ccw,cruise,theta,30.000000,2126.117550,805.700132,0,78500.1932,3.4584
arcth30-20230523-095450,0.000000,0.000000,20230523-095732,4852,ccw,cruise,theta,30.000000,2053.080102,737.876707,0,79096.8215,3.4569
arcth30-20230523-095450,0.000000,0.000000,20230523-095742,4852,ccw,cruise,theta,30.000000,1954.777830,722.580153,0,78105.0221,3.5556
arcth30-20230523-095450,0.000000,0.000000,20230523-095752,4852,ccw,cruise,theta,30.000000,1864.633540,764.889845,0,79687.1070,3.8245
arcth30-20230523-095450,0.000000,0.000000,20230523-095802,4852,ccw,cruise,theta,30.000000,1813.821830,849.856949,0,79819.8145,3.7761
arcth30-20230523-095450,0.000000,0.000000,20230523-095812,4852,ccw,cruise,theta,30.000000,1818.260633,947.222211,0,80089.7005,3.8820
arcth30-20230523-095450,0.000000,0.000000,20230523-095822,4852,ccw,cruise,phi,180.000000,1979.660325,883.178722,0,78723.1399,3.5965
getpic-20230523-105721,0.000000,0.000000,20230523-105723,4852,cw,cruise,theta,0.000000,1979.312137,883.152952,0,79047.7205,3.5947
arcphi15-20230523-111447,0.000000,0.000000,20230523-111449,4852,cw,cruise,phi,0.000000,1979.921352,883.198752,0,79269.0242,3.5587
arcphi15-20230523-111447,0.000000,0.000000,20230523-111458,4852,cw,cruise,phi,15.000000,1985.576698,905.362539,0,77705.5181,3.6111
arcphi15-20230523-111447,0.000000,0.000000,20230523-111507,4852,cw,cruise,phi,15.000000,1984.796652,930.869831,0,78797.9080,3.5702
arcphi15-20230523-111447,0.000000,0.000000,20230523-111515,4852,cw,cruise,phi,15.000000,1976.458276,955.176060,0,78442.6427,3.5967
arcphi15-20230523-111447,0.000000,0.000000,20230523-111524,4852,cw,cruise,phi,15.000000,1961.476101,975.899582,0,78600.1134,3.6274
arcphi15-20230523-111447,0.000000,0.000000,20230523-111533,4852,cw,cruise,phi,15.000000,1941.005075,991.357296,0,78930.6311,3.6639
arcphi15-20230523-111447,0.000000,0.000000,20230523-111542,4852,cw,cruise,phi,15.000000,1916.933801,1000.161602,0,79533.7193,3.6515
arcphi15-20230523-111447,0.000000,0.000000,20230523-111551,4852,cw,cruise,phi,15.000000,1891.296507,1001.595373,0,79669.3353,3.7125
arcphi15-20230523-111447,0.000000,0.000000,20230523-111600,4852,cw,cruise,phi,15.000000,1866.352874,995.475291,0,80133.9809,3.7516
arcphi15-20230523-111447,0.000000,0.000000,20230523-111609,4852,cw,cruise,phi,15.000000,1844.290388,982.339176,0,80155.3061,3.7679
arcphi15-20230523-111447,0.000000,0.000000,20230523-111618,4852,cw,cruise,phi,15.000000,1827.021899,963.393802,0,79362.8958,3.8163
arcphi15-20230523-111447,0.000000,0.000000,20230523-111627,4852,ccw,cruise,phi,15.000000,1842.698361,980.981763,0,79728.8983,3.8354
arcphi15-20230523-111447,0.000000,0.000000,20230523-111635,4852,ccw,cruise,phi,15.000000,1864.426717,994.649088,0,81025.4073,3.7865
arcphi15-20230523-111447,0.000000,0.000000,20230523-111644,4852,ccw,cruise,phi,15.000000,1889.233440,1001.352994,0,79748.0073,3.7322
arcphi15-20230523-111447,0.000000,0.000000,20230523-111653,4852,ccw,cruise,phi,15.000000,1914.940268,1000.551563,0,78986.7479,3.7129
arcphi15-20230523-111447,0.000000,0.000000,20230523-111702,4852,ccw,cruise,phi,15.000000,1939.226988,992.290206,0,79102.1234,3.6704
arcphi15-20230523-111447,0.000000,0.000000,20230523-111711,4852,ccw,cruise,phi,15.000000,1960.003645,977.385260,0,78981.9014,3.6463
arcphi15-20230523-111447,0.000000,0.000000,20230523-111720,4852,ccw,cruise,phi,15.000000,1975.535702,956.985182,0,78546.0445,3.6021
arcphi15-20230523-111447,0.000000,0.000000,20230523-111729,4852,ccw,cruise,phi,15.000000,1984.351063,932.999699,0,78967.0398,3.5950
arcphi15-20230523-111447,0.000000,0.000000,20230523-111738,4852,ccw,cruise,phi,15.000000,1985.835673,907.445649,0,78500.7100,3.5840
arcphi15-20230523-111447,0.000000,0.000000,20230523-111747,4852,ccw,cruise,phi,15.000000,1979.879862,883.179525,0,78984.6947,3.5629
arcth30-20230523-111813,0.000000,0.000000,20230523-111816,4852,cw,cruise,phi,180.000000,1818.524823,947.264782,0,81171.4185,3.9588
arcth30-20230523-111813,0.000000,0.000000,20230523-111825,4852,cw,cruise,theta,30.000000,1812.889290,854.909449,0,79979.0600,3.8244
arcth30-20230523-111813,0.000000,0.000000,20230523-111834,4852,cw,cruise,theta,30.000000,1861.141607,768.398114,0,78653.8021,3.6138
arcth30-20230523-111813,0.000000,0.000000,20230523-111843,4852,cw,cruise,theta,30.000000,1949.851256,723.412647,0,79595.4300,3.6829
arcth30-20230523-111813,0.000000,0.000000,20230523-111852,4852,cw,cruise,theta,30.000000,2048.675400,735.779440,0,78563.9721,3.5083
arcth30-20230523-111813,0.000000,0.000000,20230523-111901,4852,cw,cruise,theta,30.000000,2123.682273,801.187680,0,78299.0343,3.4745
arcth30-20230523-111813,0.000000,0.000000,20230523-111910,4852,cw,cruise,theta,30.000000,2149.184150,897.307525,0,78424.5285,3.4949
arcth30-20230523-111813,0.000000,0.000000,20230523-111919,4852,cw,cruise,theta,30.000000,2116.684670,991.422001,0,77418.7271,3.5667
arcth30-20230523-111813,0.000000,0.000000,20230523-111928,4852,cw,cruise,theta,30.000000,2036.883817,1051.271760,0,79225.2899,3.6074
arcth30-20230523-111813,0.000000,0.000000,20230523-111937,4852,cw,cruise,theta,30.000000,1937.365441,1056.134347,0,79414.2049,3.6940
arcth30-20230523-111813,0.000000,0.000000,20230523-111945,4852,cw,cruise,theta,30.000000,1852.477468,1004.792403,0,80315.0332,3.8332
arcth30-20230523-111813,0.000000,0.000000,20230523-111954,4852,ccw,cruise,theta,30.000000,1933.115115,1055.017255,0,79784.1871,3.6692
arcth30-20230523-111813,0.000000,0.000000,20230523-112003,4852,ccw,cruise,theta,30.000000,2032.142787,1052.911332,0,79594.7941,3.5970
arcth30-20230523-111813,0.000000,0.000000,20230523-112012,4852,ccw,cruise,theta,30.000000,2113.617897,995.467532,0,77135.3656,3.5730
arcth30-20230523-111813,0.000000,0.000000,20230523-112021,4852,ccw,cruise,theta,30.000000,2148.972771,902.169473,0,79831.1120,3.4645
arcth30-20230523-111813,0.000000,0.000000,20230523-112030,4852,ccw,cruise,theta,30.000000,2126.320693,805.721365,0,77590.8311,3.4846
arcth30-20230523-111813,0.000000,0.000000,20230523-112039,4852,ccw,cruise,theta,30.000000,2053.269468,737.921722,0,79287.6471,3.4667
arcth30-20230523-111813,0.000000,0.000000,20230523-112048,4852,ccw,cruise,theta,30.000000,1954.943382,722.624035,0,78646.6527,3.5319
