label,mount,move,posid,direction,speed,motor,angle,xpix,ypix,peaks,fwhm
arcphi15-20230203-135642,0,20230203-135653,4852,cw,cruise,phi,15,1978.7777761163272,902.3885081488711,74941.5310,3.3823
arcphi15-20230203-135642,0,20230203-135702,4852,cw,cruise,phi,15,1976.612874306782,930.9490483297748,78248.8940,3.5530
arcphi15-20230203-135642,0,20230203-135711,4852,cw,cruise,phi,15,1965.2867413506813,957.0470454765156,76293.0283,3.3779
arcphi15-20230203-135642,0,20230203-135720,4852,cw,cruise,phi,15,1945.975575118866,978.2180723227851,73170.7194,3.3129
arcphi15-20230203-135642,0,20230203-135729,4852,cw,cruise,phi,15,1920.8210859075664,991.9263853342185,73843.3090,3.3187
arcphi15-20230203-135642,0,20230203-135738,4852,cw,cruise,phi,15,1892.5079646124686,996.6948883809596,73467.4764,3.3152
arcphi15-20230203-135642,0,20230203-135747,4852,cw,cruise,phi,15,1864.2200733093998,992.0785017813961,73186.2119,3.3436
arcphi15-20230203-135642,0,20230203-135755,4852,cw,cruise,phi,15,1839.0109720404216,978.5279666756693,72086.3125,3.3972
arcphi15-20230203-135642,0,20230203-135804,4852,cw,cruise,phi,15,1819.5012908738138,957.4921322559139,73219.7058,3.3946
arcphi15-20230203-135642,0,20230203-135813,4852,cw,cruise,phi,15,1807.9644475235175,931.3582324013829,73735.7693,3.4732
arcphi15-20230203-135642,0,20230203-135822,4852,cw,cruise,phi,15,1806.3375092320764,926.7031883923793,74538.2803,3.5162
arcphi15-20230203-135642,0,20230203-135831,4852,cw,cruise,phi,15,1806.567679836217,926.7634831824183,74679.0014,3.5072
arcphi15-20230203-135642,0,20230203-135840,4852,ccw,cruise,phi,15,1815.6006312492946,950.8777744957206,74281.2592,3.4487
arcphi15-20230203-135642,0,20230203-135849,4852,ccw,cruise,phi,15,1833.1938101637365,973.5925976557999,72990.3787,3.4020
arcphi15-20230203-135642,0,20230203-135858,4852,ccw,cruise,phi,15,1857.0963612513474,989.2726890505057,73521.3910,3.3568
arcphi15-20230203-135642,0,20230203-135907,4852,ccw,cruise,phi,15,1884.973778665957,996.4000994423812,72403.4429,3.3678
arcphi15-20230203-135642,0,20230203-135915,4852,ccw,cruise,phi,15,1913.4396353837503,994.1166669801459,72187.7023,3.3220
arcphi15-20230203-135642,0,20230203-135925,4852,ccw,cruise,phi,15,1939.7559810032278,982.6783338875991,72602.9054,3.3057
arcphi15-20230203-135642,0,20230203-135933,4852,ccw,cruise,phi,15,1960.876546738963,963.3234040753307,72210.2885,3.2793
arcphi15-20230203-135642,0,20230203-135942,4852,ccw,cruise,phi,15,1974.445727229607,938.2948854913215,73679.2652,3.2591
arcphi15-20230203-135642,0,20230203-135951,4852,ccw,cruise,phi,15,1979.1367922592474,910.061192736345,73264.1201,3.2871
arcphi15-20230203-135642,0,20230203-140000,4852,ccw,cruise,phi,15,1974.3589720976595,881.8395421699482,75433.6617,3.3597
arcphi15-20230203-135642,0,20230203-140009,4852,ccw,cruise,phi,15,1972.708341814704,877.5431047709509,74716.4871,3.4305
arcphi15-20230203-135642,0,20230203-140018,4852,ccw,cruise,phi,15,1972.6570464699041,877.4856426913282,74580.1548,3.4406
getpic-20230203-165519,0,20230203-165521,4852,cw,cruise,theta,0,1812.7510714366904,945.4700137789583,73536.8356,3.4283
getpic-20230203-165558,0,20230203-165601,4852,cw,cruise,theta,0,1812.7616542246767,945.44216449921,73732.3153,3.4322
getpic-20230203-165757,0,20230203-165759,4852,cw,cruise,theta,0,1806.3984692757276,926.846072262876,75000.4238,3.4683
getpic-20230203-165850,0,20230203-165852,4852,cw,cruise,theta,0,1806.4077931104794,926.8247028443914,74717.3438,3.4439
getpic-20230203-170300,0,20230203-170302,4852,cw,cruise,theta,0,1806.2638188749174,926.7460387024273,74150.6691,3.4697
getpic-20230203-170457,0,20230203-170459,4852,cw,cruise,theta,0,2139.5935423478036,849.0360214379159,77920.3925,3.3990
getpic-20230203-170537,0,20230203-170539,4852,cw,cruise,theta,0,2139.822406959346,920.1989555129255,78700.1726,3.5071
getpic-20230203-170614,0,20230203-170616,4852,cw,cruise,theta,0,2014.0304195570134,1051.2550927458278,72173.8026,3.2758
getpic-20230203-170703,0,20230203-170706,4852,cw,cruise,theta,0,1887.0120496014954,1033.6434085493524,72371.5489,3.3578
getpic-20230203-170740,0,20230203-170743,4852,cw,cruise,theta,0,1834.1976892032455,986.2870281275782,73394.9542,3.4207
getpic-20230203-170818,0,20230203-170820,4852,cw,cruise,theta,0,1805.037610976768,921.3212788602866,74541.7610,3.4906
getpic-20230203-170915,0,20230203-170917,4852,cw,cruise,theta,0,1801.299339159768,891.6419351047297,74076.6532,3.4861
getpic-20230203-171011,0,20230203-171013,4852,cw,cruise,theta,0,1802.7669260466437,861.8313252766113,74279.2271,3.4618
