label,mount,move,posid,direction,speed,motor,angle,xpix,ypix,peaks,fwhm
getpic-20230221-170405,0,20230221-170407,4852,cw,cruise,theta,0,1942.4586932395407,987.3040061729436,72724.9810,3.3028
getpic-20230222-111127,0,20230222-111129,4852,cw,cruise,theta,0,1979.9342111854776,884.818066475099,72109.2835,3.3078
getpic-20230222-111240,0,20230222-111243,4852,cw,cruise,theta,0,1984.526469341438,908.5883573388454,72899.0260,3.2870
getpic-20230222-111339,0,20230222-111342,4852,cw,cruise,theta,0,1981.8121783311215,934.739381836248,72646.3006,3.2958
getpic-20230222-111615,0,20230222-111617,4852,cw,cruise,theta,0,1971.376904169608,958.8432432089201,71762.6554,3.3215
getpic-20230222-111650,0,20230222-111652,4852,cw,cruise,theta,0,1954.1462876972244,978.7737981523198,74807.9886,3.3863
getpic-20230222-111745,0,20230222-111747,4852,cw,cruise,theta,0,1954.1479332221143,978.7731482406334,75467.6254,3.4212
getpic-20230222-111841,0,20230222-111843,4852,cw,cruise,theta,0,1931.5153465098538,992.6677165772232,73324.3289,3.3714
getpic-20230222-112702,0,20230222-112705,4852,cw,cruise,theta,0,1931.3812381889575,992.6088199850045,73198.6001,3.3328
getpic-20230222-112746,0,20230222-112748,4852,cw,cruise,theta,0,1964.1004303975678,968.6896424510128,75813.1364,3.4314
getpic-20230222-112914,0,20230222-112917,4852,cw,cruise,theta,0,1976.7419662877624,948.8565152897029,73004.6716,3.3211
getpic-20230222-113011,0,20230222-113014,4852,cw,cruise,theta,0,1981.4982602765774,889.9418794869066,71439.5891,3.3233
getpic-20230222-113152,0,20230222-113154,4852,cw,cruise,theta,0,1981.497584867274,889.9613601821085,71420.6709,3.3177
getpic-20230222-113303,0,20230222-113306,4852,cw,cruise,theta,0,1979.6920797681032,884.2230074421349,72466.4103,3.3115
getpic-20230222-113332,0,20230222-113334,4852,cw,cruise,theta,0,1978.2842044187355,880.6213690932625,72437.5870,3.2991
getpic-20230222-113401,0,20230222-113403,4852,cw,cruise,theta,0,1978.3196629795943,880.6423964668098,72562.6212,3.3024
getpic-20230222-113454,0,20230222-113456,4852,cw,cruise,theta,0,1978.3265706182056,880.6365717070358,72473.4162,3.2884
arcth30-20230222-131815,0,20230222-131817,4852,cw,cruise,phi,180,1815.0429652537769,940.9504723271591,76645.9137,3.5157
arcth30-20230222-131815,0,20230222-131825,4852,cw,cruise,theta,30,1811.9171008051162,846.9368662508324,76434.1442,3.5004
arcth30-20230222-131815,0,20230222-131834,4852,cw,cruise,theta,30,1863.0230491142943,761.7954115141439,71647.4145,3.3324
arcth30-20230222-131815,0,20230222-131843,4852,cw,cruise,theta,30,1953.261652698673,719.5434395562303,70893.0449,3.2375
arcth30-20230222-131815,0,20230222-131852,4852,cw,cruise,theta,30,2051.8948341049945,734.9966492562737,71239.0574,3.2201
arcth30-20230222-131815,0,20230222-131901,4852,cw,cruise,theta,30,2124.9599464295015,802.9499597295576,71123.0234,3.2397
arcth30-20230222-131815,0,20230222-131910,4852,cw,cruise,theta,30,2147.5504835205843,899.9865536742074,71628.8527,3.2573
arcth30-20230222-131815,0,20230222-131919,4852,cw,cruise,theta,30,2111.9494267573905,993.3091750142806,71763.1544,3.2813
arcth30-20230222-131815,0,20230222-131928,4852,cw,cruise,theta,30,2030.1286658347472,1050.7339919583162,72007.5784,3.3173
arcth30-20230222-131815,0,20230222-131937,4852,cw,cruise,theta,30,1930.3381195176758,1052.506052716064,73403.3954,3.3610
arcth30-20230222-131815,0,20230222-131945,4852,cw,cruise,theta,30,1846.8701671229742,998.315031450147,77654.4683,3.6271
arcth30-20230222-131815,0,20230222-131954,4852,cw,cruise,theta,30,1807.7606641917473,906.438575221091,74903.3019,3.5779
arcth30-20230222-131815,0,20230222-132003,4852,cw,cruise,theta,30,1810.2151276605089,854.2945512007924,75580.3734,3.5457
arcth30-20230222-131815,0,20230222-132012,4852,ccw,cruise,theta,30,1817.4626151055234,947.817290017878,75400.3453,3.5560
arcth30-20230222-131815,0,20230222-132021,4852,ccw,cruise,theta,30,1878.1392316661768,1027.2163575888017,77752.3532,3.5399
